,10_2_P_R_A__0,10,2,25.0,2.57,117.02,21.45,64.0,Kluster
687,50_8_P_S_M__3,50,8,23.73,2.19,23.31,14.9,78.33,5
688,50_8_P_S_M__4,50,8,23.63,2.23,24.03,15.78,60.19,15
689,50_8_Se_R_A__0,50,8,25.11,9.48,129.61,15.71,66.13,2
690,50_8_Se_R_A__1,50,8,24.15,9.8,126.83,12.47,57.21,2
691,50_8_Se_R_A__2,50,8,23.81,9.97,124.12,14.14,73.75,2
692,50_8_Se_R_A__3,50,8,24.29,10.31,124.36,13.49,65.77,2
693,50_8_Se_R_A__4,50,8,24.94,10.33,125.19,16.35,60.59,2
694,50_8_Se_R_F__0,50,8,24.26,9.47,125.78,14.61,60.88,2
695,50_8_Se_R_F__1,50,8,26.04,9.64,130.12,15.84,65.46,2
696,50_8_Se_R_F__2,50,8,24.4,10.02,128.41,16.22,64.28,2
697,50_8_Se_R_F__3,50,8,24.72,9.84,130.11,14.08,58.96,2
698,50_8_Se_R_F__4,50,8,23.62,9.94,127.48,14.02,56.75,2
699,50_8_Se_R_M__0,50,8,24.47,9.76,128.61,14.41,55.25,2
700,50_8_Se_R_M__1,50,8,24.24,9.99,123.97,14.94,55.81,2
701,50_8_Se_R_M__2,50,8,24.05,10.16,121.95,13.88,54.9,2
702,50_8_Se_R_M__3,50,8,23.62,9.51,122.27,13.04,61.06,2
703,50_8_Se_R_M__4,50,8,25.11,10.18,127.04,16.39,59.5,2
704,50_8_Se_S_A__0,50,8,23.64,9.94,24.11,13.1,63.92,15
705,50_8_Se_S_A__1,50,8,25.46,10.09,24.35,16.57,75.29,15
706,50_8_Se_S_A__2,50,8,24.36,10.35,23.88,15.49,58.94,15
707,50_8_Se_S_A__3,50,8,23.76,9.81,24.1,14.2,62.86,15
708,50_8_Se_S_A__4,50,8,23.4,10.16,23.33,13.76,59.4,15
709,50_8_Se_S_F__0,50,8,24.9,9.8,24.04,15.45,77.05,5
710,50_8_Se_S_F__1,50,8,25.21,10.37,24.49,14.84,75.0,15
711,50_8_Se_S_F__2,50,8,23.62,10.35,24.55,13.47,60.32,15
712,50_8_Se_S_F__3,50,8,25.12,10.49,25.12,16.27,62.77,15
713,50_8_Se_S_F__4,50,8,23.91,10.33,24.74,15.57,69.0,15
714,50_8_Se_S_M__0,50,8,24.71,9.84,23.38,14.92,62.84,15
715,50_8_Se_S_M__1,50,8,24.54,9.61,23.47,15.1,59.5,15
716,50_8_Se_S_M__2,50,8,24.89,10.24,24.67,15.06,73.31,15
717,50_8_Se_S_M__3,50,8,23.99,9.7,24.54,15.98,58.76,15
718,50_8_Se_S_M__4,50,8,22.59,10.45,24.15,14.25,61.78,15
